Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,9,9,9,11,11,11,15,15,23,28,28,28,44,44,53,65,72,87,93,122,165,182,209,273,298,359,400,443,521,584,641,717,822,926,991,1058,1098,1148,1197,1253.0,1283.0,1340.0,1373.0,1398.0,1436.0,1480.0,1518.0,1548.0,1592.0,1617.0,1645.0,1678.0,1717.0,1766.0,1804.0,1854.0,1894.0,1932.0,1984.0,2060.0,2127.0,2204.0,2279.0,2422.0,2519.0,2589.0,2693.0,2758.0,2879.0,2980.0,3138.0,3274.0,3387.0,3518.0,3631.0,3749.0,3855.0,3982.0,4122.0,4271.0,4403.0,4568.0,4759.0,4989.0,5246.0,5494.0,5662.0,5935.0,6260.0,6522.0,6860.0,7239.0,7553.0,7876.0,8191.0,8530.0,8882.0,9218.0,9570.0,9957.0,10324.0,10662.0,10991.0,11329.0,11767.0,12238.0,12729.0,13207.0,13715.0,14305.0,14852.0,15369.0,15890.0,16424.0,16968.0,17524.0,18112.0,18684.0,19267.0,19801.0,20324.0,20837.0,21374.0,21916.0,22464.0,22990.0,23521.0,24041.0,24570.0,25113.0,25672.0,26165.0,26636.0,27133.0,27521.0,27890.0,28242.0,28633.0,28980.0,29312.0,29633.0,30050.0,30446.0,30858.0,31221.0,31560.0,31878.0,32157.0,32443.0,32684.0,32910.0,33103.0,33247.0,33376.0,33481.0,33568.0,33647.0,33731.0,33824.0,33915.0,34018.0,34107.0,34219.0,34343.0,34474.0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,5,5,9,10,10,11,14,14,21,24,24,28,28,29,33,40,41,42,46,46,47,49,49.0,53.0,54.0,55.0,55.0,60.0,65.0,65.0,72.0,73.0,78.0,80.0,80.0,80.0,80.0,81.0,81.0,83.0,83.0,83.0,89.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,101.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,106.0,107.0,108.0,111.0,111.0,113.0,116.0,119.0,124.0,129.0,138.0,153.0,174.0,194.0,219.0,274.0,316.0,326.0,342.0,382.0,447.0,484.0,508.0,574.0,599.0,648.0,679.0,715.0,751.0,761.0,830.0,878.0,898.0,945.0,989.0,1036.0,1089.0,1119.0,1252.0,1315.0,1329.0,1424.0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,195,210,214,214,228,256,278,285,305,334,377,392,419,458,466,476,499,515,567,569,643,672,688,700,756,811,823,887,925,1040,1136,1361,1528,1671.0,1700.0,1740.0,1773.0,1881.0,1907.0,1973.0,2027.0,2217.0,2518.0,2588.0,2647.0,2723.0,2811.0,2921.0,3040.0,3170.0,3284.0,3383.0,3533.0,3720.0,3934.0,4199.0,4444.0,4774.0,4941.0,5236.0,5531.0,5816.0,6198.0,6583.0,6747.0,6956.0,7184.0,7532.0,7888.0,8174.0,8414.0,8802.0,9138.0,9171.0,9366.0,9692.0,10052.0,10449.0,10793.0,11398.0,11871.0,12311.0,12815.0,13296.0,13835.0,14383.0,14763.0,15417.0,15731.0,16200.0,16667.0,17269.0,17713.0,18227.0,19013.0,19553.0,19961.0,20430.0,20916.0,21331.0,21764.0,22407.0,23062.0,23570.0,24081.0,24805.0,25267.0,25705.0,26239.0,26758.0,27414.0,27837.0,28410.0,28857.0,29367.0,29821.0,30321.0,30931.0,31528.0,32039.0,32470.0,32941.0,33476.0,34078.0,34560.0,35084.0,35473.0,36004.0,36422.0,36936.0,37316.0,37637.0,37996.0,38458.0,38747.0,39131.0,39482.0,39921.0,40311.0,40755.0,40982.0,41190.0,41536.0,41835.0,42132.0,42514.0,42889.0,43307.0,43629.0,44011.0,44397.0,44804.0,45264.0,45726.0,46052.0,46430.0,46835.0,47185.0,47581.0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5,8,10,14,17,20,25,27,33,39,39,44,48,48,48,49,51,54,56,61,70,88,123,164,218,330,424,482,621,803,1012,1231.0,1572.0,1838.0,2144.0,2456.0,2948.0,3382.0,3772.0,4186.0,4689.0,4998.0,5416.0,5913.0,6462.0,7103.0,7667.0,8238.0,8790.0,9455.0,10143.0,10929.0,11719.0,12425.0,13134.0,13770.0,14657.0,15691.0,16660.0,17822.0,18863.0,20065.0,20995.0,22268.0,23870.0,25121.0,26738.0,28511.0,30205.0,32078.0,33610.0,35585.0,36751.0,38292.0,40321.0,42844.0,44608.0,47153.0,49534.0,52445.0,55140.0,57563.0,60391.0,63026.0,65769.0,68504.0,71675.0,74865.0,78052.0,81523.0,84379.0,87520.0,90619.0,94481.0,98489.0,102292.0,105535.0,108775.0,112306.0,115786.0,119198.0,122660.0,126606.0,130474.0,133978.0,137787.0,141801.0,145483.0,149258.0,153277.0,156391.0,159679.0,162417.0,165618.0,168645.0,172134.0,175494.0,178443.0,181129.0,183795.0,186894.0,190057.0,193590.0,196323.0,199357.0,202066.0,204525.0,207453.0,210510.0,213254.0,216110.0,218658.0,221178.0,223453.0,226225.0,229185.0,232194.0,234889.0,237661.0,239860.0,240746.0,242102.0,244020.0,246674.0,249651.0,252502.0,255113.0,257600.0,260507.0,263503.0,266498.0,269115.0,271881.0,274525.0,276549.0,279144.0,282344.0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,14,17,18,18,18,24,26,33,33,34,34,46,51,52,56,60,63,63,66,67,68,71,72,72,73.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,77.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,83.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,86.0,88.0,88.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,103.0,103.0,103.0,103.0,104.0,104.0,104.0,104.0,105.0,106.0,106.0,106.0,106.0,108.0,108.0,110.0,110.0,110.0,110.0,110.0,110.0,122.0,132.0,132.0,132.0,133.0,133.0,138.0,138.0,142.0,142.0,143.0,144.0,144.0,148.0,150.0,151.0,152.0,153.0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,6,9,9,12,27,27,27,36,36,51,51,69,76,76,81,81,86,86,94,94,94,152,152,163,304,351,440,562,700,861,1066,1486,1981,2226,2578,2919,3281,3728.0,4204.0,4779.0,5297.0,5807.0,6264.0,6723.0,7281.0,8022.0,8773.0,9590.0,10463.0,11289.0,12208.0,13181.0,14027.0,14917.0,15828.0,16705.0,17489.0,18350.0,19255.0,20168.0,21101.0,22052.0,22973.0,23906.0,24873.0,25825.0,26772.0,27730.0,28681.0,29650.0,30572.0,31508.0,32426.0,33371.0,34303.0,35244.0,36198.0,37144.0,38059.0,38956.0,39858.0,40764.0,41658.0,42556.0,43403.0,44255.0,45116.0,45981.0,46868.0,47751.0,48630.0,49453.0,50265.0,51066.0,51816.0,52520.0,53241.0,53973.0,54680.0,55369.0,56032.0,56657.0,57333.0,57936.0,58505.0,59023.0,59487.0,59945.0,60382.0,60713.0,61095.0,61475.0,61790.0,62118.0,62424.0,62698.0,62997.0,63270.0,63554.0,63804.0,64003.0,64224.0,64411.0,64604.0,64767.0,64932.0,65114.0,65269.0,65443.0,65623.0,65782.0,65953.0,66095.0,66213.0,66348.0,66521.0,66688.0,66846.0,67002.0,67132.0,67251.0,67366.0,67518.0,67665.0,67808.0,67946.0,68067.0,68166.0,68250.0,68376.0,68503.0,68614.0,68738.0,68850.0,68947.0,69005.0,69102.0,69203.0,69308.0,69308.0,69516.0,69589.0,69673.0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573.0,34809.0,36138.0,37183.0,38496.0,39983.0,40956.0,41889.0,42797.0,44293.0,45325.0,46134.0,46687.0,47334.0,47859.0,48519.0,49032.0,49517.0,49906.0,50267.0,50509.0,50781.0,51420.0,52011.0,52596.0,53081.0,53449.0,53779.0,53981.0,54288.0,54644.0,54989.0,55280.0,55559.0,55791.0,55983.0,56235.0,56511.0,56810.0,57092.0,57342.0,57455.0,57592.0,57849.0,58061.0,58186.0,58381.0,58517.0,58615.0,58685.0,58767.0,58907.0,59072.0,59226.0,59348.0,59437.0,59569.0,59711.0,59819.0,59918.0,60029.0,60100.0,60155.0,60244.0,60348.0,60476.0,60550.0,60550.0,60550.0,60810.0,60898.0,61007.0,61106.0,61209.0,61295.0,61361.0,61427.0,61509.0,61598.0,61727.0,61838.0,62016.0,62058.0,62058.0,62123.0,62210.0,62357.0,62469.0,62707.0,62707.0,62781.0,62872.0,63238.0,63499.0,63706.0,63706.0,64094.0,64258.0,64627.0,64847.0,65199.0,65727.0,66026.0,66428.0,66662.0,67335.0,68006.0,68751.0,69402.0,69849.0,70314.0,70648.0,71158.0,72016.0,72784.0,73401.0,74152.0,74620.0,75008.0,75647.0,76191.0,77113.0,77869.0,78323.0,78534.0,78897.0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,5,7,7,8,9,10,13,14,18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,37.0,37.0,37.0,37.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,42.0,43.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,56.0,57.0,57.0,57.0,86.0,114.0,114.0,146.0,153.0,177.0,177.0,210.0,296.0,356.0,388.0,452.0,475.0,475.0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,5,6,6,6,6,6,6,6,9,13,13,16,16,22,26,26,26,26,35,35,35,35,35,35.0,35.0,35.0,35.0,35.0,54.0,54.0,54.0,54.0,54.0,54.0,64.0,64.0,64.0,64.0,64.0,90.0,90.0,90.0,96.0,96.0,96.0,140.0,242.0,284.0,319.0,319.0,327.0,327.0,339.0,339.0,339.0,339.0,339.0,130.0,130.0,135.0,135.0,135.0,191.0,191.0,208.0,210.0,210.0,224.0,224.0,232.0,243.0,244.0,244.0,261.0,261.0,261.0,261.0,288.0,305.0,305.0,305.0,388.0,412.0,442.0,483.0,532.0,572.0,597.0,650.0,650.0,765.0,807.0,850.0,902.0,1017.0,1053.0,1124.0,1149.0,1187.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0,1285.0,1285.0,1378.0,1378.0,1378.0,1378.0,1378.0,1463.0,1602.0,1602.0,1602.0,1602.0,1602.0,1690.0,1694.0,1694.0,1694.0,1770.0,1770.0,1770.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,1914.0,1936.0,1936.0,1936.0,1936.0,1936.0,1936.0,2001.0,2014.0,2014.0,2014.0,2063.0,2063.0,2063.0,2063.0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,15.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,27.0,27.0,28.0,31.0,31.0,33.0,43.0,43.0,47.0,47.0,47.0,48.0,48.0,59.0,59.0,59.0,59.0,62.0,62.0,66.0,66.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,70.0,70.0,70.0,70.0,75.0,76.0,77.0,77.0,77.0,77.0,77.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,84.0,84.0,84.0,84.0,86.0,87.0,87.0,89.0,90.0,92.0,92.0,92.0,92.0,92.0,95.0,99.0,99.0,99.0,101.0,101.0,102.0,102.0,103.0,105.0,105.0,108.0,108.0,108.0,110.0,110.0,113.0,113.0,128.0,133.0,133.0,138.0,141.0,147.0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,81,97,107,115,123,132,139,157,183,194,210,264,268,275,300,330,354,397.0,441.0,465.0,493.0,520.0,564.0,598.0,609.0,703.0,807.0,866.0,950.0,1014.0,1053.0,1110.0,1167.0,1229.0,1470.0,1594.0,1681.0,1802.0,1886.0,2081.0,2266.0,2437.0,2556.0,2831.0,2964.0,3148.0,3372.0,3577.0,3826.0,4088.0,4263.0,4481.0,4919.0,5187.0,5579.0,5915.0,6263.0,6660.0,7136.0,7768.0,8387.0,8731.0,9592.0,9982.0,10531.0,10991.0,11638.0,12245.0,12728.0,13358.0,13643.0,13949.0,14644.0,15281.0,16165.0,16929.0,17842.0,18459.0,19073.0,19883.0,20685.0,21499.0,22476.0,23512.0,24388.0,25493.0,26389.0,27487.0,28503.0,29423.0,30676.0,31524.0,32125.0,33219.0,34227.0,35528.0,36818.0,38071.0,39297.0,40509.0,41545.0,42984.0,44113.0,45565.0,47200.0,48187.0,49250.0,50867.0,52218.0,54156.0,56102.0,58138.0,59582.0,60991.0,62357.0,64135.0,65252.0,66456.0,68281.0,69429.0,71181.0,72327.0,73534.0,75234.0,76789.0,78793.0,80153.0,81846.0,83361.0,85141.0,86423.0,87891.0,89055.0,89999.0,91635.0,93328.0,95071.0,96459.0,97950.0,99146.0,100344.0,101223.0,103019.0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,7,11,13,18,24,25,26,38,63,89,93,126,136,166,176,191,237,258,323,368,420,459,533,579,624,654,674,764,804,858,901,946,1009,1037,1083,1110.0,1167.0,1214.0,1268.0,1285.0,1309.0,1342.0,1368.0,1413.0,1421.0,1486.0,1516.0,1565.0,1585.0,1677.0,1757.0,1781.0,1839.0,1857.0,1926.0,1946.0,1987.0,2027.0,2070.0,2090.0,2117.0,2141.0,2158.0,2181.0,2218.0,2236.0,2267.0,2290.0,2304.0,2321.0,2338.0,2350.0,2372.0,2391.0,2401.0,2406.0,2416.0,2435.0,2462.0,2485.0,2494.0,2510.0,2524.0,2535.0,2551.0,2594.0,2606.0,2606.0,2606.0,2704.0,2728.0,2775.0,2832.0,2893.0,2893.0,2893.0,3040.0,3085.0,3141.0,3174.0,3273.0,3273.0,3273.0,3525.0,3588.0,3676.0,3796.0,3935.0,3935.0,3935.0,4325.0,4453.0,4606.0,4788.0,4962.0,4962.0,4962.0,5458.0,5621.0,5869.0,6086.0,6402.0,6719.0,6877.0,6981.0,6981.0,7411.0,7681.0,7908.0,8161.0,8340.0,8479.0,8787.0,9115.0,9462.0,9767.0,9767.0,9767.0,10498.0,10766.0,11127.0,11444.0,11876.0,11876.0,12296.0,12462.0,12856.0,13138.0,13396.0,13687.0,13687.0,13687.0,14498.0,14708.0,14961.0,15184.0,15535.0,15801.0,15801.0,16111.0,16351.0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,6,6,6,6,13,13,13,13,13,13,13.0,15.0,15.0,15.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,29.0,30.0,30.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,42.0,48.0,48.0,48.0,60.0,60.0,60.0,60.0,79.0,79.0,89.0,89.0,89.0,89.0,89.0,92.0,92.0,92.0,92.0,92.0,175.0,227.0,227.0,227.0,277.0,277.0,277.0,314.0,314.0,314.0,314.0,314.0,314.0,399.0,399.0,399.0,399.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,592.0,686.0,686.0,686.0,739.0,739.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,1066.0,1066.0,1066.0,1214.0,1214.0,1214.0,1214.0,1308.0,1308.0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320.0,30425.0,33682.0,36658.0,38654.0,40743.0,43079.0,45757.0,50036.0,54043.0,59324.0,63100.0,67446.0,73235.0,79685.0,87187.0,92202.0,97100.0,101826.0,108620.0,115455.0,126611.0,135773.0,146894.0,156061.0,162699.0,169594.0,178214.0,190137.0,203165.0,220291.0,233511.0,241080.0,255368.0,271885.0,291579.0,310087.0,330890.0,347398.0,363211.0,374898.0,391222.0,411821.0,438238.0,465166.0,498440.0,514849.0,526447.0,555383.0,584016.0,614941.0,645771.0,672846.0,691758.0,707412.0,739503.0,772416.0,802828.0,828810.0,850514.0,867624.0,888271.0,923189.0,955377.0,978142.0,1032913.0,1067579.0,1083341.0,1106470.0,1145906.0,1188631.0,1228114.0,1274974.0,1313667.0,1344143.0,1368195.0,1402041.0,1448753.0,1496858.0,1539081.0,1577004.0,1603055.0,1623284.0,1668589.0,1713160.0,1755779.0,1800827.0,1839850.0,1864681.0,1884967.0,1926824.0,1966748.0,2012151.0,2046328.0,2074860.0,2098389.0,2118646.0,2159654.0,2227514.0,2287475.0,2343366.0,2394513.0,2419091.0,2442375.0,2483191.0,2552265.0,2610102.0,2662485.0,2707877.0,2733677.0,2750318.0,2801921.0,2859073.0,2912212.0,2962442.0,3012412.0,3035422.0,3057470.0,3109630.0,3164785.0,3224876.0,3275520.0,3317096.0,3340197.0,3359570.0,3407354.0
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,78,83,88,91,104,109,114,115,120,126,127,129,131,133,134,135,135,135,135,135,135,136,136,136,136,136,136.0,136.0,136.0,137.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,7,23,41,51,52,67,92,94,127,163,187,201,218,242,264,293,331,346,359,399,422,457,485,503,531,549,577,593,618,635,661,675,685,713,747.0,800.0,846.0,878.0,894.0,929.0,975.0,1024.0,1097.0,1234.0,1247.0,1300.0,1363.0,1399.0,1447.0,1506.0,1555.0,1594.0,1618.0,1652.0,1704.0,1778.0,1829.0,1872.0,1921.0,1965.0,1990.0,2023.0,2069.0,2100.0,2138.0,2175.0,2211.0,2235.0,2259.0,2292.0,2331.0,2372.0,2408.0,2427.0,2433.0,2443.0,2460.0,2477.0,2485.0,2499.0,2513.0,2519.0,2538.0,2560.0,2585.0,2627.0,2711.0,2727.0,2810.0,2889.0,2993.0,3086.0,3191.0,3266.0,3290.0,3341.0,3453.0,3542.0,3674.0,3755.0,3872.0,3905.0,3984.0,4114.0,4242.0,4408.0,4513.0,4625.0,4691.0,4831.0,4989.0,5154.0,5315.0,5497.0,5677.0,5740.0,5914.0,6102.0,6342.0,6672.0,6964.0,7175.0,7252.0,7411.0,7645.0,7877.0,8144.0,8442.0,8638.0,8733.0,8929.0,9254.0,9584.0,9853.0,10123.0,10312.0,10427.0,10621.0,10871.0,11155.0,11420.0,11690.0,11836.0,11955.0,12159.0,12414.0,12717.0,13014.0,13209.0,13343.0,13396.0,13512.0,13722.0,13893.0,13893.0,14243.0,14333.0,14365.0,14500.0,14669.0
